Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Depth,Matrix,Sample Type,Parent Sample,Description,Notes
Grant Line Canal East,GLC-East,B9D74921261,CFF0313B0082,3/21/2013 12:20,Chlorophyll a,479-61-8,14.52,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Grant Line Canal East,GLC-East,B9D74921261,CFF0313B0082,3/21/2013 12:20,Pheophytin a,0,7.53,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Grant Line Canal East,GLC-East,B9D74921261,CFF0413B0107,4/12/2013 11:50,Chlorophyll a,479-61-8,1.45,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CFF0413B0107,4/12/2013 11:50,Pheophytin a,0,2.23,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CFG0513B0125,5/1/2013 11:00,Chlorophyll a,479-61-8,0.95,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CFG0513B0125,5/1/2013 11:00,Pheophytin a,0,1.38,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CFF0513B0142,5/16/2013 10:35,Chlorophyll a,479-61-8,0.57,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CFF0513B0142,5/16/2013 10:35,Pheophytin a,0,1.15,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CFF0613B0165,6/5/2013 10:20,Chlorophyll a,479-61-8,35.46,0.1,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CFF0613B0165,6/5/2013 10:20,Pheophytin a,0,20.91,0.1,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0613B0158,6/21/2013 8:50,Chlorophyll a,479-61-8,6.09,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0613B0158,6/21/2013 8:50,Pheophytin a,0,16.27,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0713B0215,7/10/2013 9:05,Chlorophyll a,479-61-8,39.52,0.1,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0713B0215,7/10/2013 9:05,Pheophytin a,0,11.62,0.1,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
